           name            
---------------------------
 Aaron Eckhart
 Adam Kalesperis
 Aidan Feore
 Andrew Bicknell
 Andy Luther
 Anthony Michael Hall
 Ariyon Bakare
 Beatrice Rosen
 Bill Smille
 Brandon Lambdin
 Bronson Webb
 Chin Han
 Christian Bale
 Chucky Venn
 Cillian Murphy
 Colin McFarlane
 Craig Heaney
 Crhis Perschler
 Dale RIvera
 Daryl Satcher
 David Dastmalchian
 Doug Ballard
 Edison Chen
 Eric Roberts
 Erik Hellman
 Gary Oldman
 Gertrude Kyles
 Grahame Edwards
 Greg Beam
 Hannah Gunn
 Heath Ledger
 Helene Wilson
 Ian Pirie
 James Farruggio
 James Fierro
 James Scales
 Jennifer Knox
 Jonathan Ryland
 Joseph Luis Caballero
 Joshua Harto
 Joshua Rollins
 Keith Kupferer
 K. Todd Freeman
 Lanny Lutz
 Lateef Lovejoy
 Lorna Gayle
 Maggie Gyllenhaal
 Matthew Leitch
 Matthew O'Neill
 Matt Rippy
 Matt Shallenberger
 Melinda McGraw
 Michael Andrew Gorman
 Michael Caine
 Michael Corey Foster
 Michael Jai White
 Michael Stoyanov
 Michael Vieau
 Monique Curnen
 Morgan Freeman
 Nancy Crane
 Nathan Gamble
 Nestor Carbonell
 Nigel Carrington
 Nydia Rodriguez Terracina
 Olumiji Olawumi
 Patrick Clear
 Paul Birchard
 Peter DeFaria
 Philip Bulcock
 Richard Dillane
 Ritchie Coster
 Roger Monk
 Ronan Summers
 Ron Dean
 Sam Derence
 Sarah Jayne Dunn
 Sophia Hinshelwood
 Thomas Gaitsch
 Thomas McElroy
 Tommy Campbell
 Tommy 'Tiny' Lister
 Tristan Tait
 Vincent Riotta
 Vincenzo Nicoli
 Wai Wong
 Walter Lewis
 William Armstrong
 William Fichtner
 Will Zahrn
 Winston Ellis
(91 rows)
