              name               | count 
---------------------------------+-------
 Nikolai Grinko                  |     8
 Paul Frankeur                   |     7
 John Cazale                     |     7
 Kuniko Miyake                   |     6
 Tsutomu Yamazaki                |     6
 Gunnel Lindblom                 |     6
 Allan Garcia                    |     6
 Timothy T. Mitchum              |     5
 Megan Gallagher                 |     5
 Anatoli Solonitsin              |     5
 Adia Beckford                   |     4
 Gerard Watkins                  |     4
 Ellen Bahl                      |     4
 Chick Collins                   |     4
 Robert Aberdeen                 |     4
 Yvette Bodrick                  |     4
 Luther Isler                    |     4
 Darrie Lawrence                 |     4
 Jasmine Pauline Wigfall         |     4
 Pierre Brasseur                 |     4
 Lamar Antwon Robinson           |     4
 Sean Haberle                    |     4
 Becki Newton                    |     4
 Jamie O'Keefe                   |     4
 Travis Veada                    |     4
 Dietrice A. Bolden              |     4
 Amy V. Dewhurst                 |     4
 Willana Mack                    |     4
 Joyce Walker Jospeh             |     4
 Henry Caplan                    |     4
 Taylor Carlton                  |     4
 Dina Gardener                   |     4
 Dominic Colón                   |     4
 Leon Thomas III                 |     4
 Talif Showers                   |     4
 Bonnie McKee                    |     4
 Zach Page                       |     4
 Tyler McGuckin                  |     4
 Alfred Abel                     |     4
 Olaf Storm                      |     4
 Crystal A. Elliott              |     4
 Jacques Tati                    |     4
 Wolfgang Zilzer                 |     4
 Takeshi Katô                    |     4
 Jindai Joseph                   |     4
 Dirk Zeelenberg                 |     4
 Anais Martinez                  |     4
 Charles Mack                    |     4
 Joshua Jaymz Doss               |     4
 Julien Bertheau                 |     4
 Aaron Staton                    |     4
 Bilal Bishop                    |     4
 Jacquelen Singleton             |     4
 Michael Drayer                  |     4
 Michael Roderick Hammonds...    |     4
 Jamia Simone Nash               |     4
 Michael Nyqvist                 |     4
 Amma Agyapon                    |     4
 Allan Edwall                    |     4
 Julia Deakin                    |     3
 Lorraine Miller                 |     3
 Anders Ek                       |     3
 Jay Villiers                    |     3
 Mike Donlin                     |     3
 Nikolai Cherkasov               |     3
 Jacek Wojcicki                  |     3
 Saburo Date                     |     3
 Mutsuko Sakura                  |     3
 Julien Guiomar                  |     3
 Anthony Harvey                  |     3
 Preben Lerdorff Rye             |     3
 Marion Mack                     |     3
 Shaun Prendergast               |     3
 Yoshio Inaba                    |     3
 Grete Berger                    |     3
 Pierre Lary                     |     3
 Juliane Köhler                  |     3
 Renato Pinciroli                |     3
 Michel François                 |     3
 Frederick Vroom                 |     3
 Marcel Peres                    |     3
 Marianne Aminoff                |     3
 Birgitta Valberg                |     3
 Julien Carette                  |     3
 Garnett Smith                   |     3
 John Cortay                     |     3
 Charles Henry Smith             |     3
 Jean-Pierre Melville            |     3
 Fred Vroom                      |     3
 Shuji Otake                     |     3
 Federique Feder                 |     3
 Jochen Nickel                   |     3
 Norio Matsui                    |     3
 Arnaldo Salazar                 |     3
 Morgana King                    |     3
 Marc Amyot                      |     3
 Robert Shields                  |     3
 Paul Espel                      |     3
 James Haggis                    |     3
 Jean Brochard                   |     3
 Diabolo                         |     3
 Tatsuyoshi Ebara                |     3
 Tere Livrano                    |     3
 Barbro Hjort af Ornäs           |     3
 Daisuke Ryu                     |     3
 Alexandre von Sivers            |     3
 Marianne Plasteig               |     3
 Nobuo Nakamura                  |     3
 Joe Marmo                       |     3
 John Milius                     |     3
 Toyoko Takahashi                |     3
 Tom Nawn                        |     3
 Emilia Crow                     |     3
 Ha-kyun Shin                    |     3
 Guy Decomble                    |     3
 Mustafa Nadarevic               |     3
 Marius Laurey                   |     3
 Keiji Sada                      |     3
 Jarl Kulle                      |     3
 Anthony Bate                    |     3
 Billy Gallo                     |     3
 Machiko Kyo                     |     3
 Peter Savage                    |     3
 Lars-Owe Carlberg               |     3
 Ross McCutcheon                 |     3
 Jack Perry                      |     3
 Georges Siatidis                |     3
 Claude Piéplu                   |     3
 Branko Zavrsan                  |     3
 Takashi Naitô                   |     3
 Claude Duneton                  |     3
 Sigge Fuerst                    |     3
 Jean Maurel                     |     3
 Fumiko Homma                    |     3
 J. Louis Johnson                |     3
 Preston Sturges                 |     3
 Scott Klace                     |     2
 Genevieve Robinson              |     2
 Linda Moretti                   |     2
 David Harris (III)              |     2
 Bert Starkey                    |     2
 Gus Reed                        |     2
 Jacqueline Staup                |     2
 Levit Pereira                   |     2
 Cesar Gattegno                  |     2
 Agathe De La Fontaine           |     2
 Markku Peltola                  |     2
 Otto Hofmann                    |     2
 Buzzy Kerbox                    |     2
 Mathieu Busson                  |     2
 Fabian Cartwright               |     2
 Cecil Reynolds                  |     2
 Richard Bischoff                |     2
 Lawrence Hilton-Jacobs          |     2
 Diane Keen                      |     2
 Jake Reitan                     |     2
 Eric Schniewind                 |     2
 Dave Scott                      |     2
 Marshall Touchton               |     2
 Raven Joyful                    |     2
 Jaden Smith                     |     2
 Dita Parlo                      |     2
 Pierre Bertin                   |     2
 Silas Kerati                    |     2
 Henry Kope                      |     2
 Guy Forsyth                     |     2
 Shimadayu Toyotake              |     2
 Osama Bin Laden                 |     2
 Randi Reitan                    |     2
 Henning Schlüter                |     2
 Arthur Singley                  |     2
 Arbin C. Kumar                  |     2
 Stanley J. ('Tiny') Sandf...    |     2
 Yunosuke Ito                    |     2
 Aleksander Bednarz              |     2
 Regine Zimmermann               |     2
 Ankur Vikal                     |     2
 Reiko Nanao                     |     2
 Paul Richter                    |     2
 Karel Hermánek                  |     2
 José Marco                      |     2
 Mike Parsons                    |     2
 Katherine Perry                 |     2
 Beatrice Manowski               |     2
 Brigitte Helm                   |     2
 Francis Lederer                 |     2
 Lola Dueñas                     |     2
 Edward Donlin                   |     2
 Francois Moreuil                |     2
 Harley Wood                     |     2
 Jerzy Nowak                     |     2
 Sojin Jr.                       |     2
 Yû Aoi                          |     2
 Alfonso Gatto                   |     2
 Luz Maria Collazo               |     2
 Nina Kervel-Bey                 |     2
 Montrey Moore                   |     2
 Marcel Hensema                  |     2
 Kregg A. Foote                  |     2
 Wu Yuk-Ho                       |     2
 Jim Armenti                     |     2
 Stefan Larsson                  |     2
 Brenda Poteat                   |     2
 Brian Dierker                   |     2
 Krister Henriksson              |     2
 Kirsten Andreasen               |     2
 Marc Andreoni                   |     2
 Geraldine Hall                  |     2
 Gosta Prnzelius                 |     2
 Alejandro Jodorowsky            |     2
 Mona Lee                        |     2
 Julius Falkenstein              |     2
 Franco Fabrizi                  |     2
 Mirza Tanovic                   |     2
 Anil Kapoor                     |     2
 Alisa Frejndlikh                |     2
 Lamberto Maggiorani             |     2
 Paul Le Person                  |     2
 David Poteat                    |     2
 Shawn "Barney" Barron           |     2
 Ignazio Pappalardo              |     2
 Ray Jeffries                    |     2
 Allan Gildea                    |     2
 Sanchita Couhdary               |     2
 Doria Caron                     |     2
 Himanshu Tyagi                  |     2
 Stepan Krylov                   |     2
 Hirotaka Suzuoki                |     2
 Mario González Broche           |     2
 Florence Lee                    |     2
 Peter Mel                       |     2
 Salvador Dalí                   |     2
 Susanna Pasolini                |     2
 Hans Adalbert von Schlett...    |     2
 Leif Forstenberg                |     2
 Britta Reitan                   |     2
 Srdjan Todorovic                |     2
 Armand Philoxene Meffre         |     2
 Jacques Potin                   |     2
 Filip Sovagovic                 |     2
 Paul Hittscher                  |     2
 Fausto Mirabal                  |     2
 Yngve Nordwall                  |     2
 Miriam Wajsberg                 |     2
 The Glide Ensemble              |     2
 Joe Cornish                     |     2
 Tom Whitehouse                  |     2
 Toshiko Higuchi                 |     2
 Florist Fransined               |     2
 Else Petersen                   |     2
 Jason Holt                      |     2
 Gonzalo Martin Uriarte          |     2
 Cathy Kiera Clarke              |     2
 Richard Balducci                |     2
 Keiko Tsushima                  |     2
 Rosaria DeCicco                 |     2
 Park Ji-ah                      |     2
 Cees Geel                       |     2
 Simon Mann                      |     2
 David Martinez                  |     2
 Pinaki San Gupta                |     2
 Robert Light                    |     2
 Édouard Delmont                 |     2
 Miho Kanno                      |     2
 Gus Rose                        |     2
 Lucien Frégis                   |     2
 Ross Bagdasarian Sr.            |     2
 Maya Sansa                      |     2
 Kota Yui                        |     2
 Halina Gryglaszewska            |     2
 Edward M. Kimball               |     2
 Kanu Bannerjee                  |     2
 David Jewell                    |     2
 Kanya Man                       |     2
 Frederick Draper                |     2
 Carey Poe                       |     2
 Sidede Onyulo                   |     2
 Kevin Crook                     |     2
 Liliane David                   |     2
 Emil Jannings                   |     2
 Ofelia Guilmain                 |     2
 Massimo Troisi                  |     2
 Victor Hoagland                 |     2
 Lauren Leah Mitchell            |     2
 Akio Yokoyama                   |     2
 Tony Kgoroge                    |     2
 Carmel McCallion                |     2
 Nina Kervel                     |     2
 Declan Duddy                    |     2
 Chen Wan-lei                    |     2
 Stanley J. Sanford              |     2
 Shima Iwashita                  |     2
 Mary McBay                      |     2
 Helen Boston                    |     2
 Nausicaa Rampony                |     2
 Robert Vincent O'Neil           |     2
 Gertrude Messenger              |     2
 Predrag Lakovic                 |     2
 Robert Perry                    |     2
 Sandra Milo                     |     2
 Birthe Neumann                  |     2
 Deannie Best                    |     2
 Marc Caro                       |     2
 Raul Garcia                     |     2
 Dev Patel                       |     2
 Philip Zandén                   |     2
 Jerry Edwards McLilly           |     2
 Nobuko Miyamoto                 |     2
 Daan Ekkel                      |     2
 Adele Cambria                   |     2
 Kazuo Kato                      |     2
 Cathy Fithian                   |     2
 Aud Egede Nissen                |     2
 Francis Huster                  |     2
 Joe Washington                  |     2
 Ave Ninchi                      |     2
 Alice Lowe                      |     2
 Jaroslav Dusek                  |     2
 Yeong-ae Lee                    |     2
 Hélène Vincent                  |     2
 Martin Semmelrogge              |     2
 Ashutosh Lobo Gajiwala          |     2
 Christopher Ravenscroft         |     2
 Patricia Franklin               |     2
 Ames Asbell                     |     2
 Erwin Biswanger                 |     2
 William E. Arnold Jr.           |     2
 Douglas Read                    |     2
 Michael Gilden                  |     2
 Lauren London                   |     2
 Donatas Banionis                |     2
 Jackie Johnson                  |     2
 Daragh O'Malley                 |     2
 Devon Brown                     |     2
 Yo Oizumi                       |     2
 Bob Cilman                      |     2
 Mike Edwards                    |     2
 Björn Bjelvenstam               |     2
 Stephanie Morgenstern           |     2
 Tiny Sandford                   |     2
 Julia Leidl                     |     2
 Steven Price                    |     2
 Salvatore Corsitto              |     2
 Chuck Aspegren                  |     2
 Ulrike Schirm                   |     2
 Dave Barry                      |     2
 Sacha Kremer                    |     2
 Antoine Balpêtré                |     2
 Toshiya Ito                     |     2
 Christine Pellé                 |     2
 Christiana Markou               |     2
 Mary Moulds                     |     2
 Fai-hung Chan                   |     2
 Pierre Fresnay                  |     2
 Romain Bouteille                |     2
 Bettina Redlich                 |     2
 Krafft-Raschig                  |     2
 Amerigo Bevilacqua              |     2
 Joe Benoit                      |     2
 Ilse Furstenberg                |     2
 Pierre Segui                    |     2
 Kari Sylwan                     |     2
 Fritz Rasp                      |     2
 Jean-Claude Guilbert            |     2
 Rene Bitorajac                  |     2
 Ralf Richter                    |     2
 Monica Lewinsky                 |     2
 David Bither                    |     2
 Michel Fabre                    |     2
 Antti Reini                     |     2
 Guillermo Montesinos            |     2
 Chuck Aspergren                 |     2
 Peter Werner                    |     2
 Adam Curtis                     |     2
 Phil Reitan                     |     2
 André S. Labarthe               |     2
 Mark Inman                      |     2
 Yayo Calvo                      |     2
 Kathy Kiera Clarke              |     2
 Richard Davalos                 |     2
 Stephen Simms                   |     2
 Helen Dickson                   |     2
 Randall Adams                   |     2
 Darius Chambers                 |     2
 Tiana Hux                       |     2
 Simone Paris                    |     2
 Louise Brooks                   |     2
 James Hewitt                    |     2
 Rev. Cecil Williams             |     2
 John Christensen                |     2
 Justin Mackall                  |     2
 Jean Riveyre                    |     2
 Jane Gephardt                   |     2
 Jüri Järvet                     |     2
 David Michaels                  |     2
 Hugh Masekela                   |     2
 Michel Flash                    |     2
 Timothy Levitch                 |     2
 Rev. Irene Monroe               |     2
 Pierre Prevert                  |     2
 Thi Thy Tien N'Guyen            |     2
 Edward G. Robinson Jr.          |     2
 Patrick Paroux                  |     2
 Phyllis Crane                   |     2
 Angelika Bartsch                |     2
 Makatari Fujiwara               |     2
 Layne Beachley                  |     2
 Roberto Garcia York             |     2
 Rachelle Lefevre                |     2
 Rebecca Pan                     |     2
 Henry Wadsworth                 |     2
 Kasey Rogers                    |     2
 Jean Renoir                     |     2
 Alain Eloy                      |     2
 Rashida Clendening              |     2
 Domenic Bove                    |     2
 Luis Buñuel                     |     2
 Philippe Campos                 |     2
 Holger Perfort                  |     2
 Alex Nixon                      |     2
 Carol Dawson                    |     2
 Jefferson Airplane              |     2
 David Sosa                      |     2
 Peter Kassovitz                 |     2
 Silvia Pinal                    |     2
 Carl Götz                       |     2
 Peter Howard                    |     2
 Pierre Sanoussi-Bliss           |     2
 Bruce Alexander                 |     2
 Jason T. Hodge                  |     2
 Rose Valetti                    |     2
 Eugène Berthier                 |     2
 Luisa Maria Jimenez             |     2
 Krafft Raschig                  |     2
 Sergio Tramonti                 |     2
 Branko Djuric                   |     2
 Justin Chon                     |     2
 Judith Gibson                   |     2
 Chantal Liennel                 |     2
 Brahim Hadjadj                  |     2
 Laird John Hamilton             |     2
 Yvonne Andre                    |     2
 Neil Armstrong                  |     2
 Naemi Briese                    |     2
 Robert Luster                   |     2
 Fausto Guerzoni                 |     2
 Eamonn Healy                    |     2
 Corrado Gaipa                   |     2
 Fawzia el Kader                 |     2
 Ardell Sheridan                 |     2
 Lorelei Linklater               |     2
 Steve Brudniak                  |     2
 Elsa Prescott                   |     2
 Chikage Awashima                |     2
 Rev. Dr. Laurence C. Kenn...    |     2
 Samia Kerbash                   |     2
 Ugo Adinolfi                    |     2
 RC Whittaker                    |     2
 Robert Forster-Larrinaga        |     2
 Adolf Klein                     |     2
 Kwan Lee-Na                     |     2
