                                        title                                        | year | rating | num_ratings | count 
-------------------------------------------------------------------------------------+------+--------+-------------+-------
 11'09''01 - September 11                                                            | 2002 |    3.5 |         303 |     2
 12 Angry Men                                                                        | 1957 |    4.1 |       22784 |     2
 20 Million Miles to Earth                                                           | 1957 |      0 |           0 |     2
 24 Hour Party People                                                                | 2002 |      0 |           0 |     2
 28 Days Later...                                                                    | 2002 |    3.6 |      107149 |     2
 2 Days in Paris                                                                     | 2007 |    3.6 |       27100 |     2
 30 Days of Night                                                                    | 2007 |    3.3 |      146766 |     2
 3:10 to Yuma                                                                        | 2007 |    3.9 |      139372 |     2
 48 Hrs.                                                                             | 1982 |    3.2 |       10471 |     2
 4: Rise of the Silver Surfer                                                        | 2007 |    3.2 |      470350 |     2
 Abandon                                                                             | 2002 |    2.7 |        2670 |     2
 A Beautiful Mind                                                                    | 2001 |    3.9 |      103150 |     2
 À bout de souffle                                                                   | 1960 |    4.2 |       10327 |     2
 Ae Fond Kiss...                                                                     | 2004 |    3.7 |        1269 |     2
 A Foreign Affair                                                                    | 1948 |    3.7 |         504 |     2
 A Kiss Before Dying                                                                 | 1956 |      0 |           0 |     2
 Albino Alligator                                                                    | 1996 |      3 |        1198 |     2
 Alexander                                                                           | 2004 |    2.7 |       29540 |     2
 Alfie                                                                               | 2004 |    2.9 |       15367 |     2
 Alien³                                                                              | 1992 |    3.1 |       30526 |     2
 A Little Princess                                                                   | 1995 |    3.4 |       13643 |     2
 All Quiet on the Western Front                                                      | 1930 |    3.8 |        3797 |     2
 All the King's Men                                                                  | 2006 |      0 |           0 |     2
 Alone in the Dark                                                                   | 2005 |    2.1 |        8641 |     3
 American Pie                                                                        | 1999 |    3.4 |      203348 |     2
 American Splendor                                                                   | 2003 |    3.7 |        9157 |     2
 A Midsummer Night's Dream                                                           | 1999 |      0 |           0 |     2
 Anastasia                                                                           | 1997 |    3.2 |       33076 |     2
 Angela's Ashes                                                                      | 1999 |    3.6 |        4588 |     2
 Angus, Thongs and Perfect Snogging                                                  | 2008 |    3.9 |        6295 |     2
 A Nightmare on Elm Street: The Dream Child                                          | 1989 |    2.9 |       17837 |     2
 Animal House                                                                        | 1978 |    3.7 |       25149 |     2
 Anna Karenina                                                                       | 1935 |      0 |           0 |     2
 A Perfect Getaway                                                                   | 2009 |    3.2 |      102622 |     3
 A Perfect Murder                                                                    | 1998 |    3.1 |        9130 |     2
 Appaloosa                                                                           | 2008 |    3.2 |       19629 |     2
 Around the World in 80 Days                                                         | 2004 |    2.7 |       14038 |     2
