Query,Querry Exectuion Time,indexing
"SELECT M.title
FROM movies M
JOIN actors A ON M.mid = A.mid
WHERE A.name = 'Daniel Craig'
ORDER BY M.title;",358 msec,208 msec
SELECT A.name,,
FROM actors A,,
JOIN movies M ON M.mid = A.mid,147 msec,
WHERE M.title = 'The Dark Knight',,
ORDER BY A.name;,,
"SELECT genre
FROM (
    SELECT G.genre, COUNT(G.mid) AS movieCount
    FROM genres G
    JOIN movies M
    ON M.mid = G.mid
    GROUP BY G.genre
) AS Temp
WHERE movieCount>1000;",133 msec,
"SELECT M.title, M.year , M.rating
FROM movies M
ORDER BY M.year ASC, M.rating DESC;",187 msec,
"SELECT title FROM movies AS m
WHERE EXISTS (
    SELECT mid FROM tags
    JOIN tag_names ON tag_names.tid = tags.tid
    WHERE mid = m.mid
    AND LOWER(tag) LIKE '%good%')
AND EXISTS (
    SELECT mid FROM tags
    JOIN tag_names ON tag_names.tid = tags.tid
    WHERE mid = m.mid
    AND LOWER(tag) LIKE '%bad%');",201 msec,141 msec
"SELECT * FROM movies
WHERE num_ratings = (
    SELECT MAX(num_ratings)
    FROM movies);",149 msec,
"SELECT * FROM movies
WHERE rating = (
    SELECT MAX(rating) FROM movies)
ORDER BY mid;",233 msec,
,,
SELECT * FROM movies,,
WHERE rating = (,203 msec,
    SELECT MAX(rating) FROM movies),,
ORDER BY mid;,,
"(
    SELECT * FROM movies
    WHERE num_rating = (
        SELECT MAX(num_rating)
        FROM movies)
) INTERSECT (
    SELECT * FROM movies
    WHERE rating = (
        SELECT MAX(rating)
        FROM movies)
);",170 msec,
"SELECT * FROM movies
WHERE num_ratings = (SELECT MAX(num_ratings) FROM movies)
AND   rating      = (SELECT MAX(rating) FROM movies);",146 msec,
"SELECT * FROM movies
WHERE rating = (
    SELECT MIN(rating)
    FROM movies)
ORDER BY mid;",235 msec,
"(
    SELECT * FROM movies
    WHERE num_ratings = (
        SELECT MAX(num_ratings)
        FROM movies)
) INTERSECT (
    SELECT * FROM movies
    WHERE rating = (
        SELECT MIN(rating)
        FROM movies)
);",208 msec,
"SELECT * FROM movies
WHERE num_rating = (SELECT MAX(num_rating) FROM movies)
AND   rating      = (SELECT MIN(rating) FROM movies);",163 msec,
"SELECT m.year, m.title, m.rating
FROM movies m, (SELECT m.year, MIN(rating) AS min_rating, MAX(rating) AS max_rating
                FROM movies m
                WHERE m.year <=2011
                AND m.year >=2005
                AND num_ratings <> 0
                GROUP BY m.year) mm
WHERE m.year = mm.year
AND (m.rating = mm.min_rating
OR m.rating = mm.max_rating)
GROUP BY m.year, m.title, m.rating
ORDER BY m.year, m.rating, m.title;",152 msec,
